2019/08/11 09:34:16 [error] 24618#24618: *19 open() "/opt/openwisp2/static//favicon.png" failed (2: No such file or directory), client: 103.92.100.152, server: 68.183.94.131, request: "GET /static/favicon.png HTTP/2.0", host: "68.183.94.131"
2019/08/11 09:41:23 [error] 24618#24618: *168 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.57.159.159, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 09:45:57 [error] 24618#24618: *262 readv() failed (104: Connection reset by peer) while reading upstream, client: 31.9.155.248, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 09:55:20 [error] 24618#24618: *449 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.0.146.227, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:01:44 [error] 24618#24618: *560 readv() failed (104: Connection reset by peer) while reading upstream, client: 79.141.224.206, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:05:10 [error] 24618#24618: *633 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.57.201.239, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:09:18 [error] 24618#24618: *716 readv() failed (104: Connection reset by peer) while reading upstream, client: 90.153.139.156, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:12:33 [error] 24618#24618: *785 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.207.57, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:19:16 [error] 24618#24618: *935 readv() failed (104: Connection reset by peer) while reading upstream, client: 31.9.90.36, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:21:44 [error] 24618#24618: *976 readv() failed (104: Connection reset by peer) while reading upstream, client: 186.141.200.179, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:25:56 [error] 24618#24618: *1053 readv() failed (104: Connection reset by peer) while reading upstream, client: 197.156.115.202, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:27:19 [error] 24618#24618: *1072 readv() failed (104: Connection reset by peer) while reading upstream, client: 102.86.112.158, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:41:14 [error] 24618#24618: *1363 readv() failed (104: Connection reset by peer) while reading upstream, client: 31.9.143.146, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:52:25 [error] 24618#24618: *1586 readv() failed (104: Connection reset by peer) while reading upstream, client: 185.96.110.132, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:52:43 [error] 24618#24618: *1594 readv() failed (104: Connection reset by peer) while reading upstream, client: 209.52.88.207, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:56:54 [error] 24618#24618: *1675 readv() failed (104: Connection reset by peer) while reading upstream, client: 202.69.12.208, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:57:25 [error] 24618#24618: *1696 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.6.168, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 10:58:13 [error] 24618#24618: *1718 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.58.192.6, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 11:00:14 [error] 24618#24618: *1754 readv() failed (104: Connection reset by peer) while reading upstream, client: 178.52.151.249, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 11:03:12 [error] 24618#24618: *1820 readv() failed (104: Connection reset by peer) while reading upstream, client: 154.227.149.36, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 11:05:40 [error] 24618#24618: *1889 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.1.83, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 11:06:47 [error] 24618#24618: *1919 readv() failed (104: Connection reset by peer) while reading upstream, client: 31.9.137.77, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 11:07:16 [error] 24618#24618: *1934 readv() failed (104: Connection reset by peer) while reading upstream, client: 157.32.205.235, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 11:22:00 [error] 24618#24618: *2238 open() "/opt/openwisp2/static//favicon.png" failed (2: No such file or directory), client: 27.59.107.79, server: 68.183.94.131, request: "GET /static/favicon.png HTTP/2.0", host: "68.183.94.131", referrer: "https://68.183.94.131/admin/login/?next=/admin/"
